Cargo;Especialidade;CLT;Terceiro
AD Adm. de Dados;;7415;9743
Adm. Cloud;;5129;5901
Adm. de rede;;4859;6223
Adm. De Sistemas - Aplicacoes;;6084;7281
Agile Coach;;11715;13221
Agile Master;;12022;13042
Analista de Aplicacoes;;4404;5173
Analista de BI - Big Data;;7983;10433
Analista de Governanca;;4633;5188
Analista de Implantacao;;4266;4973
Analista de Infraestrutura;;4803;5447
Analista de Integracao;;5711;6726
Analista de monitoramento;;2433;2760
Analista de Negocios;;7883;10515
Analista de processos;;6231;8005
Analista de producao;Mainframe;3558;4341
Analista de producao;Unix;3777;4408
Analista de Projetos;;6018;7643
Analista de Qualidade;;5935;7788
Analista de Requisitos;;7674;9577
Analista de seguranca;;6117;7861
Analista de sistemas;Mainframe;6201;7689
Analista de sistemas;C#;6502;8413
Analista de sistemas;Java;8085;12401
Analista de sistemas;PHP;4664;6035
Analista de sistemas;Oracle PL-SQL;6822;8629
Analista de Suporte;Mainframe;5301;6149
Analista de Suporte;Unix;4872;5798
Analista de Suporte;ERP;3675;4190
Analista de Suporte;Redes;3427;4304
Analista de Suporte;Windows;2939;3644
Analista de Suporte;Linux;2918;3203
Analista de Telecomunicacoes;;3902;4760
Analista de testes;;4916;6679
Analista Funcional;;7358;9050
Analista Microinformatica;;2299;2807
Analista Programador;C#;6569;9111
Analista Programador;Java;6996;8858
Analista Programador;ASP;4223;5633
Analista Programador;Mainframe;5177;6988
Analista Programador;PHP;4403;5267
Analista Programador;C++;5714;7320
Analista Programador;ABAP;7597;9853
Analista Programador;Python;4711;5927
Analista Programador;Delphi;4501;5844
Analista Programador;Oracle PL-SQL;6638;8655
Analista Seguranca Sistemas;;7422;9596
Arquiteto de Sistemas;;10606;12997
Assistente de Informatica;;1803;
Auditor de Sistemas;;4567;6153
Consultor ERP;;9467;13368
Consultor especialista;Client-Sever;9343;11772
Consultor especialista;Mainframe;7221;9025
Coordenador de projetos;;11554;13768
Coordenador de Suporte;;6355;8279
Coordenador de testes;;7598;9932
DBA Adm. Base de Dados;;6821;8594
Engenheiro de Sistemas;;8466;10329
Engenheiro de Telecom;;6859;8488
Estagiario;;1484;
Gerente de Contas;;8995;10231
Gerente de operacao;;10125;11421
Gerente de Projetos;;12200;12998
Gerente de Sistemas;;16385;18362
Gerente de Suporte;;11398;13077
Instrutor;;2311;3111
Lider de Projetos;;9872;12998
Lider Tecnico;;10102;12101
Operador - Scheduller; Mainframe;2490;3163
Operador - Scheduller; Unix;2645;3307
Programador; C#;4859;6636
Programador; Java;5681;7626
Programador; PHP;3751;4989
Programador; Delphi;3200;4096
Programador; Visual Basic;2489;3102
Programador; ABAP;6111;8012
Programador; Cobol;3758;4998
Programador; Java Script;2868;3528
Programador; Python;3998;4758
Programador; Visual Studio;5149;6636
Recrutador(a) RH para TI;;3623;5016
Tecnico de Hardware;;2053;2399
Tecnico de Suporte;;2144;2944
Web Designer;;3211;4037